id,regulated_entity_name,regulated_entity_rn_number,city_county,type_of_air_emissions_event,based_on_the,event_began,event_ended,type_of_emission
59,CHANNELVIEW COMPLEX,RN100542281,"CHANNELVIEW, HARRIS",EXCESS OPACITY,INITIAL REPORT,"08/24/2014 
		4:41PM","08/24/2014 
                
",excess-opacity
60,GENERIC INCIDENT ZIP CODE 7785,RN104047402,"FRANKLIN, ROBERTSON",,INITIAL REPORT,"04/19/2014 
		3:00AM","04/19/2014 
                
",none
61,GENERIC INCIDENT ZIP CODE 7785,RN104047402,"FRANKLIN, ROBERTSON",,INITIAL REPORT,"04/23/2014 
		3:00AM","04/23/2014 
                
",none
62,CA GOLDSMITH SAT 511,RN106894330,"GOLDSMITH, ECTOR",EMISSIONS EVENT,FINAL REPORT,"09/02/2014 
		8:30AM","09/02/2014 
                
",emissions-event
63,GENERIC INCIDENT ZIP CODE 7785,RN104047402,"FRANKLIN, ROBERTSON",,INITIAL REPORT,04/25/2014,04/25/2014,none
64,GENERIC INCIDENT ZIP CODE 7785,RN104047402,"FRANKLIN, ROBERTSON",,INITIAL REPORT,"05/08/2014 
		2:00AM","05/08/2014 
                
",none
65,GENERIC INCIDENT ZIP CODE 7785,RN104047402,"FRANKLIN, ROBERTSON",,INITIAL REPORT,"05/14/2014 
		3:30AM","05/14/2014 
                
",none
66,GENERIC INCIDENT ZIP CODE 7785,RN104047402,"FRANKLIN, ROBERTSON",,INITIAL REPORT,"05/26/2014 
		2:00AM","05/26/2014 
                
",none
67,CAG CENTRAL BATTERY NO 448,RN103914461,"GOLDSMITH, ECTOR",EMISSIONS EVENT,FINAL REPORT,"09/02/2014 
		8:30AM","09/02/2014 
                
",emissions-event
68,GENERIC INCIDENT ZIP CODE 7785,RN104047402,"FRANKLIN, ROBERTSON",,INITIAL REPORT,"05/22/2014 
		2:30AM","05/22/2014 
                
",none
69,ENTERPRISE MONT BELVIEU COMPLE,RN102323268,"MONT BELVIEU, CHAMBERS",AIR SHUTDOWN,INITIAL REPORT,"09/08/2014 
		6:00AM","09/11/2014 
                
",air-shutdown
1401,MUSTANG VALLEY WSC,RN101457620,", BOSQUE",BOIL WATER NOTICE (BWN),FINAL REPORT,02/08/2013,02/18/2013,boil-water-notice-bwn
70,GOLDSMITH GAS PLANT,RN100222330,"GOLDSMITH, ECTOR",EMISSIONS EVENT,INITIAL REPORT,"09/02/2014 
		10:38AM","09/02/2014 
                
",emissions-event
71,GOLDSMITH GAS PLANT,RN100222330,"GOLDSMITH, ECTOR",EMISSIONS EVENT,INITIAL REPORT,"09/02/2014 
		11:16AM","09/02/2014 
                
",emissions-event
72,ARNOLD OIL OF AUSTIN,RN100625425,"AUSTIN, TRAVIS",EMERGENCY RESPONSE,INITIAL REPORT,"08/13/2014 
		2:00PM","08/13/2014 
                
",emergency-response
73,A 1O HUTT COMPRESSOR STATION,RN102217015,"MIDLAND, MIDLAND",EMISSIONS EVENT,FINAL REPORT,"09/02/2014 
		11:51AM","09/02/2014 
                
",emissions-event
74,BEAUMONT PLANT,RN102559291,"BEAUMONT, JEFFERSON",AIR STARTUP,INITIAL REPORT,"09/02/2014 
		12:38PM","09/03/2014 
                
",air-startup
75,KEYSTONE GAS PLANT,RN100238633,"KERMIT, WINKLER",EMISSIONS EVENT,INITIAL REPORT,"09/03/2014 
		12:35PM","09/03/2014 
                
",emissions-event
76,KROGER FUEL FACILITY 389,RN104275102,", MONTGOMERY",,INITIAL REPORT,"06/04/2014 
		8:17AM","06/04/2014 
                
",none
77,MEMORIAL VILLAGES WA,RN101520906,"HOUSTON, HARRIS",WASTEWATER BYPASS,INITIAL REPORT,"08/01/2014 
		9:45AM","08/01/2014 
                
",wastewater-bypass
78,MARTIN LAKE STEAM ELECTRIC STA,RN102583093,"TATUM, RUSK",EXCESS OPACITY,INITIAL REPORT,"09/03/2014 
		10:46AM","09/03/2014 
                
",excess-opacity
79,BRECKENRIDGE TANKS,RN107703597,"BRECKENRIDGE, STEPHENS",,INITIAL REPORT,"08/28/2014 
		8:00AM",09/03/2014,none
191,CITY OF WELLS,RN101425965,", CHEROKEE",BOIL WATER NOTICE (BWN),FINAL REPORT,09/04/2014,09/05/2014,boil-water-notice-bwn
80,ALON USA BIG SPRING REFINERY,RN100250869,"BIG SPRING, HOWARD",EMERGENCY RESPONSE,FINAL REPORT,"08/27/2014 
		4:00PM","08/27/2014 
                
",emergency-response
81,ALBANY ENGINEERED COMPOSITES,RN105520928,"BOERNE, KENDALL",EMERGENCY RESPONSE,INITIAL REPORT,"09/02/2014 
		1:00AM",09/03/2014,emergency-response
82,REDDY ICE HARLINGEN 305,RN103764825,"HARLINGEN, CAMERON",EMISSIONS EVENT,INITIAL REPORT,"09/02/2014 
		8:00PM","09/02/2014 
                
",emissions-event
83,BIG BROWN STEAM ELECTRIC STATI,RN101198059,"FAIRFIELD, FREESTONE",EXCESS OPACITY,INITIAL REPORT,"09/03/2014 
		12:42AM","09/03/2014 
                
",excess-opacity
84,SOUTH FULLERTON BOOSTER STATIO,RN100219641,"ANDREWS, ANDREWS",EMISSIONS EVENT,INITIAL REPORT,"09/03/2014 
		1:31AM","09/03/2014 
                
",emissions-event
85,NORBORD TEXAS NACOGDOCHES,RN100543040,"NACOGDOCHES, NACOGDOCHES",MAINTENANCE,INITIAL REPORT,"09/04/2014 
		9:30AM","09/04/2014 
                
",maintenance
86,DALLAS FACILITY,RN103002713,"DALLAS, DALLAS",,INITIAL REPORT,"08/06/2014 
		7:40AM","08/26/2014 
                
",none
87,ANDREWS BOOSTER STATION,RN100219047,"ANDREWS, ANDREWS",EMISSIONS EVENT,INITIAL REPORT,"09/03/2014 
		3:16PM","09/03/2014 
                
",emissions-event
88,WELCH CO2 GAS PROCESSING FACIL,RN100211960,"WELCH, DAWSON",EMISSIONS EVENT,INITIAL REPORT,"09/03/2014 
		9:55PM","09/04/2014 
                
",emissions-event
89,SID RICHARDSON CARBON BORGER P,RN100222413,"BORGER, HUTCHINSON",EMISSIONS EVENT,FINAL REPORT,"09/03/2014 
		6:30PM","09/04/2014 
                
",emissions-event
192,CITY OF QUEEN CITY,RN101388858,", CASS",BOIL WATER NOTICE (BWN),FINAL REPORT,09/08/2014,09/10/2014,boil-water-notice-bwn
90,JAMESON GAS PLANT,RN101246478,"SILVER, COKE",EMISSIONS EVENT,INITIAL REPORT,09/03/2014,09/04/2014,emissions-event
91,AMERADA HESS SEMINOLE GAS PROC,RN103758470,"SEMINOLE, GAINES",MAINTENANCE,INITIAL REPORT,09/14/2014,09/15/2014,maintenance
92,OAK GROVE STEAM ELECTRIC STATI,RN100216191,"FRANKLIN, ROBERTSON",EXCESS OPACITY,INITIAL REPORT,"09/04/2014 
		6:00AM","09/04/2014 
                
",excess-opacity
93,GOLDSMITH GAS PLANT,RN100222330,"GOLDSMITH, ECTOR",EMISSIONS EVENT,INITIAL REPORT,"09/04/2014 
		10:30AM","09/04/2014 
                
",emissions-event
94,JASPER ORIENTED STRANDBOARD OS,RN100215169,"JASPER, JASPER",MAINTENANCE,FINAL REPORT,"09/09/2014 
		6:00AM","09/09/2014 
                
",maintenance
95,THREE OAKS MINE,RN103896395,"ELGIN, BASTROP",EMERGENCY RESPONSE,INITIAL REPORT,"08/18/2014 
		2:20PM","08/18/2014 
                
",emergency-response
96,BRASKEM AMERICA,RN102888328,"LA PORTE, HARRIS",EMISSIONS EVENT,INITIAL REPORT,"09/04/2014 
		11:30AM","09/04/2014 
                
",emissions-event
97,TXDOT-AUS-CSJ 0113-13-149,RN106327273,"AUSTIN, TRAVIS",EMERGENCY RESPONSE,INITIAL REPORT,"08/18/2014 
		10:30AM","08/18/2014 
                
",emergency-response
98,OWENS CORNING ROOFING AND ASPH,RN100225291,"IRVING, DALLAS",MAINTENANCE,FINAL REPORT,"09/06/2014 
		7:19AM","09/06/2014 
                
",maintenance
99,VOPAK TERMINAL DEER PARK,RN100225093,"DEER PARK, HARRIS",EMISSIONS EVENT,INITIAL REPORT,"09/04/2014 
		10:30AM","09/04/2014 
                
",emissions-event
100,EL PASO NATURAL GAS WARD COUNT,RN105897961,", WARD",EMISSIONS EVENT,INITIAL REPORT,09/05/2014,"09/05/2014 
                
",emissions-event
101,SAN MIGUEL ELECTRIC PLANT,RN100226539,"CHRISTINE, ATASCOSA",AIR STARTUP,INITIAL REPORT,"09/04/2014 
		12:54PM","09/04/2014 
                
",air-startup
102,GENERIC INCIDENT ZIP CODE 7693,RN104042395,"BARNHART, IRION",EMERGENCY RESPONSE,INITIAL REPORT,"09/04/2014 
		10:45AM","09/04/2014 
                
",emergency-response
103,LEGGETT WSC,RN101454130,"LIVINGSTON, POLK",BOIL WATER NOTICE (BWN),FINAL REPORT,04/01/2014,04/02/2014,boil-water-notice-bwn
104,CEDAR POINT,RN102685393,"ONALASKA, POLK",BOIL WATER NOTICE (BWN),FINAL REPORT,03/28/2014,03/31/2014,boil-water-notice-bwn
105,EXXONMOBIL CHEMICAL BAYTOWN CH,RN102574803,"BAYTOWN, HARRIS",BOIL WATER NOTICE (BWN),FINAL REPORT,09/03/2014,09/04/2014,boil-water-notice-bwn
106,G M WSC,RN101261691,"HEMPHILL, SABINE",BOIL WATER NOTICE (BWN),FINAL REPORT,01/16/2014,01/24/2014,boil-water-notice-bwn
107,WHITWELL CENTRAL PRODUCTION FA,RN106565526,"COTULLA, LA SALLE",EMISSIONS EVENT,INITIAL REPORT,"09/04/2014 
		12:39PM","09/05/2014 
                
",emissions-event
108,PARADISE ACRES WATER SYSTEM,RN101201960,"LIVINGSTON, POLK",BOIL WATER NOTICE (BWN),FINAL REPORT,08/29/2014,09/10/2014,boil-water-notice-bwn
109,GENERIC INCIDENT ZIP CODE 7855,RN104051123,"HARLINGEN, CAMERON",EMERGENCY RESPONSE,INITIAL REPORT,"08/15/2014 
		4:40PM","08/15/2014 
                
",emergency-response
110,MCELROY SECTION 199 EMERGENCY ,RN102297827,"CRANE, CRANE",EMISSIONS EVENT,INITIAL REPORT,"09/05/2014 
		12:30PM","09/06/2014 
                
",emissions-event
111,JT MCELROY 202 TB,RN102303336,"CRANE, CRANE",EMISSIONS EVENT,INITIAL REPORT,"09/05/2014 
		12:30PM","09/06/2014 
                
",emissions-event
112,FLINT HILLS RESOURCES EAST REF,RN102534138,"CORPUS CHRISTI, NUECES",BOIL WATER NOTICE (BWN),FINAL REPORT,08/18/2014,08/19/2014,boil-water-notice-bwn
113,LUBRIZOL BAYPORT PLANT,RN101058410,"LA PORTE, HARRIS",EMISSIONS EVENT,FINAL REPORT,"08/22/2014 
		9:00PM","08/23/2014 
                
",emissions-event
114,WATER WORKS 2 ISLAND LODGES,RN101252237,", LLANO",BOIL WATER NOTICE (BWN),FINAL REPORT,08/22/2014,08/27/2014,boil-water-notice-bwn
116,ANDREWS BOOSTER STATION,RN100219047,"ANDREWS, ANDREWS",EMISSIONS EVENT,INITIAL REPORT,"09/04/2014 
		8:32PM","09/05/2014 
                
",emissions-event
117,MEMORIAL VILLAGES WATER AUTHOR,RN102687050,", HARRIS",BOIL WATER NOTICE (BWN),FINAL REPORT,08/01/2014,08/07/2014,boil-water-notice-bwn
118,MEMORIAL VILLAGES WATER AUTHOR,RN102687050,", HARRIS",BOIL WATER NOTICE (BWN),FINAL REPORT,05/30/2014,06/04/2014,boil-water-notice-bwn
119,GENERIC INCIDENT ZIP CODE 7753,RN104046149,"CHANNELVIEW, HARRIS",,INITIAL REPORT,"09/05/2013 
		8:00AM","09/05/2014 
                
",none
120,SEMINOLE BOOSTER STATION,RN102591625,"SEMINOLE, GAINES",EMISSIONS EVENT,INITIAL REPORT,"09/05/2014 
		7:31AM","09/05/2014 
                
",emissions-event
121,GENERIC INCIDENT ZIP CODE 7976,RN104057054,"ODESSA, ECTOR",EMERGENCY RESPONSE,INITIAL REPORT,07/30/2014,07/30/2014,emergency-response
122,KEYSTONE GAS PLANT,RN100238633,"KERMIT, WINKLER",MAINTENANCE,INITIAL REPORT,"09/14/2014 
		11:00PM","09/19/2014 
                
",maintenance
123,COLETO WATER,RN102683562,"VICTORIA, VICTORIA",BOIL WATER NOTICE (BWN),FINAL REPORT,07/27/2014,07/30/2014,boil-water-notice-bwn
124,ORANGE COUNTY WCID 1,RN101417541,"VIDOR, ORANGE",BOIL WATER NOTICE (BWN),FINAL REPORT,08/18/2014,08/23/2014,boil-water-notice-bwn
125,LONE STAR PROCESSING FACILITY,RN106476377,"TULETA, BEE",MAINTENANCE,INITIAL REPORT,"09/09/2014 
		8:00AM","09/22/2014 
                
",maintenance
126,GOLDSMITH LANDRETH DEEP UNIT S,RN103024170,"GOLDSMITH, ECTOR",EMISSIONS EVENT,FINAL REPORT,"09/05/2014 
		12:45PM","09/06/2014 
                
",emissions-event
127,GOLDSMITH LANDRETH DEEP UNIT S,RN102520467,"GOLDSMITH, ECTOR",EMISSIONS EVENT,FINAL REPORT,"09/05/2014 
		12:45PM","09/06/2014 
                
",emissions-event
128,GLDU STATION 4,RN102416344,"GOLDSMITH, ECTOR",EMISSIONS EVENT,FINAL REPORT,"09/05/2014 
		12:45PM","09/06/2014 
                
",emissions-event
129,BAYPORT EO PLANT,RN102926920,"PASADENA, HARRIS",EMISSIONS EVENT,INITIAL REPORT,"09/05/2014 
		3:15PM","09/05/2014 
                
",emissions-event
130,GOLDSMITH LANDRETH DEEP UNIT S,RN102530706,"ODESSA, ECTOR",EMISSIONS EVENT,FINAL REPORT,"09/05/2014 
		12:45PM","09/06/2014 
                
",emissions-event
131,CA GOLDSMITH SAT 511,RN106894330,"GOLDSMITH, ECTOR",EMISSIONS EVENT,FINAL REPORT,"09/05/2014 
		1:00PM","09/06/2014 
                
",emissions-event
132,GOLDSMITH LANDRETH DEEP UNIT S,RN102752920,"GOLDSMITH, ECTOR",EMISSIONS EVENT,FINAL REPORT,"09/05/2014 
		12:45PM","09/06/2014 
                
",emissions-event
133,CAG CENTRAL BATTERY NO 448,RN103914461,"GOLDSMITH, ECTOR",EMISSIONS EVENT,FINAL REPORT,"09/05/2014 
		1:00PM","09/06/2014 
                
",emissions-event
134,GLDU STATION 8,RN102421716,"GOLDSMITH, ECTOR",EMISSIONS EVENT,FINAL REPORT,"09/05/2014 
		12:45PM","09/06/2014 
                
",emissions-event
135,GLDU STATION 9,RN102416476,"GOLDSMITH, ECTOR",EMISSIONS EVENT,FINAL REPORT,"09/05/2014 
		12:45PM","09/06/2014 
                
",emissions-event
136,GOLDSMITH LANDRETH DEEP UNIT S,RN102598810,"GOLDSMITH, ECTOR",EMISSIONS EVENT,FINAL REPORT,"09/05/2014 
		12:45PM","09/06/2014 
                
",emissions-event
137,GOLDSMITH LANDRETH DEEP UNIT C,RN102996071,"GOLDSMITH, ECTOR",EMISSIONS EVENT,FINAL REPORT,"09/05/2014 
		12:45PM","09/06/2014 
                
",emissions-event
138,GSMITH LANDRETH DEEP ST12,RN102416013,"GOLDSMITH, ECTOR",EMISSIONS EVENT,FINAL REPORT,"09/05/2014 
		12:45PM","09/06/2014 
                
",emissions-event
139,GLDU STATION 13,RN102419686,"GOLDSMITH, ECTOR",EMISSIONS EVENT,FINAL REPORT,"09/05/2014 
		12:45PM","09/06/2014 
                
",emissions-event
140,SALE RANCH GAS PLANT,RN100212653,"STANTON, MARTIN",MAINTENANCE,INITIAL REPORT,"09/09/2014 
		6:00AM","09/10/2014 
                
",maintenance
141,GANDU 26 FRANK B BATTERY,RN106597891,"GOLDSMITH, ECTOR",EMISSIONS EVENT,INITIAL REPORT,"09/05/2014 
		8:00AM","09/05/2014 
                
",emissions-event
142,GANDU 36 BATTERY,RN102186830,"ODESSA, ECTOR",EMISSIONS EVENT,FINAL REPORT,"09/05/2014 
		12:15PM","09/06/2014 
                
",emissions-event
143,MABEE TANK BATTERY 4,RN102920261,"ANDREWS, ANDREWS",EMISSIONS EVENT,FINAL REPORT,"09/05/2014 
		11:00AM","09/05/2014 
                
",emissions-event
144,MABEE TANK BATTERY 4,RN102920261,"ANDREWS, ANDREWS",EMISSIONS EVENT,FINAL REPORT,"09/05/2014 
		8:00PM",09/06/2014,emissions-event
145,GENERIC INCIDENT ZIP CODE 7990,RN104057476,"EL PASO, EL PASO",EMERGENCY RESPONSE,INITIAL REPORT,08/18/2014,08/18/2014,emergency-response
146,CLYDE COWDEN BATTERY 5,RN105969943,"GOLDSMITH, ECTOR",EMISSIONS EVENT,FINAL REPORT,"09/05/2014 
		5:30PM","09/06/2014 
                
",emissions-event
193,PROVIDENCE GROVE,RN106522626,"KELLER, TARRANT",,INITIAL REPORT,08/29/2014,09/02/2014,none
147,CLYDE COWDEN BATTERY 1,RN102195955,"GOLDSMITH, ECTOR",EMISSIONS EVENT,FINAL REPORT,"09/05/2014 
		5:30PM","09/06/2014 
                
",emissions-event
148,NPU 1 & MILLARD C TANK BATTERY,RN106503253,"GOLDSMITH, ECTOR",EMISSIONS EVENT,FINAL REPORT,"09/05/2014 
		4:50PM","09/06/2014 
                
",emissions-event
