id,contaminant,limit,amount_released
97,Sulfur dioxide,0,621.51 lbs (est.)
98,VOC,0,2.49 lbs (est.)
99,Opacity,20.0 % op,100.0 % op (est.)
100,Carbon Monoxide,0,1000.0 lbs (est.)
101,Hydrogen Sulfide,0,1000.0 lbs (est.)
102,NATURAL GAS,0,1000.0 lbs (est.)
103,NOX,0,1000.0 lbs (est.)
104,Sulfur dioxide,0,1000.0 lbs (est.)
105,Butane,25.0 TONS/YR,42.32 lbs (est.)
106,Carbon Monoxide,250.0 TONS/YR,176.78 lbs (est.)
107,Hexane,25.0 TONS/YR,8.42 lbs (est.)
108,Hydrogen Sulfide,0,6.74 lbs (est.)
109,NOX,250.0 TONS/YR,88.55 lbs (est.)
110,Pentane,25.0 TONS/YR,16.02 lbs (est.)
111,Propane,25.0 TONS/YR,40.58 lbs (est.)
112,Sulfur dioxide,25.0 TONS/YR,621.12 lbs (est.)
113,Butane,12.8 LBS/HR,0.1 lbs (est.)
114,Carbon Monoxide,100.5 LBS/HR,124.33 lbs (est.)
115,Hexane,12.8 LBS/HR,0.63 lbs (est.)
116,Hydrogen Sulfide,0,219.31 lbs (est.)
117,NOX,11.72 LBS/HR,62.28 lbs (est.)
118,Pentane,12.8 LBS/HR,0.05 lbs (est.)
119,Propane,12.8 LBS/HR,0.23 lbs (est.)
120,Sulfur dioxide,9672.0 LBS/HR,20199.52 lbs (est.)
181,Hydrogen Sulfide,0,16.8 lbs (est.)
121,Ethylene (gaseous),0,6239.0 lbs (est.)
122,Methanol,0,101.0 lbs (est.)
123,VOC,5000.0 lbs,3732.0 lbs (est.)
124,Carbon Monoxide,7.89 TONS/YR,283.93 lbs (est.)
125,Hydrogen Sulfide,0.42 TONS/YR,33.53 lbs (est.)
126,NATURAL GAS,5.71 TONS/YR,294.89 lbs (est.)
127,Nitrogen Oxides,1.47 TONS/YR,142.22 lbs (est.)
128,Sulfur dioxide,33.87 TONS/YR,3088.56 lbs (est.)
129,NATURAL GAS,0.63 TONS/YR,5079.35 lbs (est.)
130,"Butane, N-",0.001 lbs,353.0 lbs (est.)
131,"Butane, i",0.001 lbs,120.0 lbs (est.)
132,Carbon Monoxide,0.001 lbs,1947.0 lbs (est.)
133,Hydrogen Sulfide,0.001 lbs,19.0 lbs (est.)
134,NOX,0.001 lbs,975.0 lbs (est.)
135,"Pentane, N-",0.001 lbs,143.0 lbs (est.)
136,Propane,0.001 lbs,795.0 lbs (est.)
137,Sulfur dioxide,0.001 lbs,1828.0 lbs (est.)
138,hexanes +,0.001 lbs,60.0 lbs (est.)
139,"pentane, iso-",0.001 lbs,100.0 lbs (est.)
140,Diesel fuel,25.0 gals,50.0 gals (est.)
141,Carbon Monoxide,0,383.52 lbs (est.)
142,Hydrogen Sulfide,0,0.006 lbs (est.)
143,NOX,0,192.11 lbs (est.)
144,Natural Gas VOCs,0,298.27 lbs (est.)
145,Sulfur dioxide,0,1.66 lbs (est.)
146,Opacity,10.0 % op,40.0 % op (est.)
147,"Butane, N-",0.001 lbs,209.0 lbs (est.)
148,"Butane, i",0.001 lbs,87.0 lbs (est.)
149,Carbon Monoxide,45.31507 lbs,842.0 lbs (est.)
150,Hexanes,0.001 lbs,24.0 lbs (est.)
151,Hydrogen Sulfide,2.19178 lbs,38.0 lbs (est.)
152,NOX,46.84931 lbs,422.0 lbs (est.)
153,"Pentane, N-",0.001 lbs,45.0 lbs (est.)
154,Propane,0.001 lbs,521.0 lbs (est.)
155,Sulfur dioxide,30.41096 lbs,3613.0 lbs (est.)
156,"pentane, iso-",0.001 lbs,54.0 lbs (est.)
157,"1,3-BUTADIENE",968.35 LBS/HR,1500.0 lbs (est.)
158,1-Butene,968.35 LBS/HR,1000.0 lbs (est.)
159,2-Butene-cis,968.35 LBS/HR,1000.0 lbs (est.)
160,2-Butene-trans,968.35 LBS/HR,1000.0 lbs (est.)
161,Acetylene,968.35 LBS/HR,1000.0 lbs (est.)
162,Benzene,968.35 LBS/HR,1500.0 lbs (est.)
163,"Butane, N-",968.35 LBS/HR,1000.0 lbs (est.)
164,Carbon Monoxide,968.35 LBS/HR,30000.0 lbs (est.)
165,Ethane,968.35 LBS/HR,42000.0 lbs (est.)
166,Ethylene (gaseous),968.35 LBS/HR,35000.0 lbs (est.)
167,Isobutane,968.35 LBS/HR,1000.0 lbs (est.)
168,Methane,968.35 LBS/HR,20000.0 lbs (est.)
169,Nitrogen Oxides (NOx),968.35 LBS/HR,15000.0 lbs (est.)
170,Propane,968.35 LBS/HR,5000.0 lbs (est.)
171,Propylene,968.35 LBS/HR,10000.0 lbs (est.)
172,Styrene,968.35 LBS/HR,1000.0 lbs (est.)
173,Toluene,968.35 LBS/HR,1000.0 lbs (est.)
174,Visible Emissions,0,100.0 % op (est.)
175,Carbon Monoxide,0,500.0 lbs (est.)
176,Ethylene (gaseous),0,1000.0 lbs (est.)
177,Nitrogen Oxides,0,100.0 lbs (est.)
178,Propane,0,500.0 lbs (est.)
179,Solvent Refined Heavy Naphtha,0,300.0 gals (est.)
180,Carbon Monoxide,0,744.0 lbs (est.)
182,NATURAL GAS,0,715.0 lbs (est.)
183,NOX,0,373.0 lbs (est.)
184,Sulfur dioxide,0,1580.0 lbs (est.)
185,Carbon Monoxide,0,284.0 lbs (est.)
186,Hydrogen Sulfide,0,6.4 lbs (est.)
187,NATURAL GAS,0,272.0 lbs (est.)
188,NOX,0,142.0 lbs (est.)
189,Sulfur dioxide,0,601.0 lbs (est.)
190,Nitrogen oxide,0,250.0 lbs (est.)
191,Nitrogen oxide,24.58 LBS/HR,100.0 lbs (est.)
192,Benzene,0,12.9 lbs (est.)
193,Butane,0,12.2 lbs (est.)
194,Ethylbenzene,0,0.12 lbs (est.)
195,Heptanes,0,49.3 lbs (est.)
196,Hexanes,0,39.3 lbs (est.)
197,Nonanes,0,3.1 lbs (est.)
198,Octanes,0,12.4 lbs (est.)
199,"Pentane, N-",0,13.9 lbs (est.)
200,Propane,0,14.2 lbs (est.)
201,Toluene,0,6.5 lbs (est.)
202,Xylenes,0,0.4 lbs (est.)
203,"pentane, iso-",0,2.6 lbs (est.)
204,Benzene,10.0 lbs,17.29 lbs (est.)
205,VOC - NONMETHANE,5000.0 lbs,18498.0 lbs (est.)
206,Opacity,30.0 % op,100.0 % op (est.)
207,Opacity,30.0 % op,100.0 % op (est.)
208,Opacity,30.0 % op,100.0 % op (est.)
209,Opacity,20.0 % op,100.0 % op (est.)
210,Opacity,20.0 % op,100.0 % op (est.)
211,Sewage,0,10000.0 gals (est.)
212,Carbon Monoxide,0,58.07 lbs (est.)
213,Hydrogen Sulfide,0,41.69 lbs (est.)
214,NATURAL GAS,0,80.0 lbs (est.)
215,NOX,0,29.09 lbs (est.)
216,Sulfur dioxide,0,3918.57 lbs (est.)
217,Carbon Monoxide,0,33.8 lbs (est.)
218,Hydrogen Sulfide,0,34.8 lbs (est.)
219,NATURAL GAS,0,59.68 lbs (est.)
220,NOX,0,16.93 lbs (est.)
221,Sulfur dioxide,0,3270.29 lbs (est.)
222,Carbon Monoxide,0.19 LBS/HR,791.0 lbs (est.)
223,Hydrogen Sulfide,0,25.5 lbs (est.)
224,Non-Methane Non-Ethane Natural Gas,0.01 LBS/HR,132.0 lbs (est.)
225,Oxides of Nitrogen (NOx),0.02 LBS/HR,92.3 lbs (est.)
226,Sulfur dioxide,0.04 LBS/HR,2352.0 lbs (est.)
227,Sewage,0,5000.0 gals (est.)
228,VOC,0,6780.0 lbs (est.)
229,Carbon Monoxide,0,140.0 lbs (est.)
230,Hydrogen Sulfide,0,6.0 lbs (est.)
231,NOX,0,70.0 lbs (est.)
232,Non-Methane Non-Ethane Natural Gas,0,188.0 lbs (est.)
233,Sulfur dioxide,0,502.0 lbs (est.)
234,Carbon Monoxide,0,125.0 lbs (est.)
235,Hydrogen Sulfide,0,8.0 lbs (est.)
236,NOX,0,63.0 lbs (est.)
237,Non-Methane Non-Ethane Natural Gas,0,177.0 lbs (est.)
238,Sulfur dioxide,0,694.0 lbs (est.)
239,Carbon Monoxide,0,94.0 lbs (est.)
240,Hydrogen Sulfide,0,2.0 lbs (est.)
241,NOX,0,47.0 lbs (est.)
242,Non-Methane Non-Ethane Natural Gas,0,149.0 lbs (est.)
243,Sulfur dioxide,0,531.0 lbs (est.)
244,Opacity,30.0 % op,58.0 % op (est.)
245,"Butane, N-",0.0001 lbs,42.0 lbs (est.)
246,"Butane, i",0.0001 lbs,12.0 lbs (est.)
247,Carbon Monoxide,0.0001 lbs,179.0 lbs (est.)
248,Hydrogen Sulfide,0.0001 lbs,11.0 lbs (est.)
249,NOX,0.0001 lbs,90.0 lbs (est.)
250,"Pentane, N-",0.0001 lbs,15.0 lbs (est.)
251,Propane,0.0001 lbs,85.0 lbs (est.)
252,Sulfur dioxide,0.0001 lbs,1019.0 lbs (est.)
253,hexanes +,0.0001 lbs,20.0 lbs (est.)
254,"pentane, iso-",0.0001 lbs,12.0 lbs (est.)
255,"Butane, N-",5000.0 lbs,112.0 lbs (est.)
256,"Butane, i",5000.0 lbs,32.0 lbs (est.)
257,Carbon Monoxide,5000.0 lbs,563.0 lbs (est.)
258,Hexanes,5000.0 lbs,86.0 lbs (est.)
259,Hydrogen Sulfide,100.0 lbs,74.0 lbs (est.)
260,NOX,5000.0 lbs,282.0 lbs (est.)
261,"Pentane, N-",5000.0 lbs,45.0 lbs (est.)
262,Propane,5000.0 lbs,234.0 lbs (est.)
263,Sulfur dioxide,500.0 lbs,6921.0 lbs (est.)
264,"pentane, iso-",5000.0 lbs,32.0 lbs (est.)
265,Butane,76.63 LBS/HR,2000.0 lbs (est.)
266,C5+ (not including benzene),76.63 LBS/HR,250.0 lbs (est.)
267,Carbon Monoxide,119.25 LBS/HR,2500.0 lbs (est.)
268,Isobutane,76.63 LBS/HR,1000.0 lbs (est.)
269,Nitrogen oxide,77.97 LBS/HR,2000.0 lbs (est.)
270,Propane,76.63 LBS/HR,250.0 lbs (est.)
271,Propylene (Propene),76.63 LBS/HR,100.0 lbs (est.)
272,Carbon Monoxide,8.87 TONS/YR,144.63 lbs (est.)
273,Hydrogen Sulfide,0,19.52 lbs (est.)
274,NATURAL GAS,0.1 TONS/YR,144.74 lbs (est.)
275,Nitrogen Oxides,8.81 TONS/YR,72.45 lbs (est.)
276,Nitrogen dioxide,0,3.62 lbs (est.)
277,Nitrogen oxide,0,68.82 lbs (est.)
278,Sulfur dioxide,0,1797.81 lbs (est.)
279,Carbon Monoxide,7.89 TONS/YR,54.18 lbs (est.)
280,Hydrogen Sulfide,0.42 TONS/YR,6.4 lbs (est.)
281,NATURAL GAS,5.71 TONS/YR,56.28 lbs (est.)
282,Nitrogen Oxides,1.47 TONS/YR,27.14 lbs (est.)
283,Sulfur dioxide,38.87 TONS/YR,589.42 lbs (est.)
284,Benzene,10.0 lbs,22.8 lbs (est.)
285,Butane,5000.0 lbs,3335.7 lbs (est.)
286,Ethylbenzene,5000.0 lbs,1.5 lbs (est.)
287,Heptane (or n-),5000.0 lbs,218.6 lbs (est.)
288,Hexane,5000.0 lbs,1306.6 lbs (est.)
289,Isobutane,5000.0 lbs,959.4 lbs (est.)
290,Isopentane,5000.0 lbs,894.1 lbs (est.)
291,Octane,5000.0 lbs,26.7 lbs (est.)
292,Pentane,5000.0 lbs,971.5 lbs (est.)
293,Propane,5000.0 lbs,7832.0 lbs (est.)
294,Toluene,1000.0 lbs,20.5 lbs (est.)
295,Xylene,1000.0 lbs,5.13 lbs (est.)
296,decane,5000.0 lbs,5.22 lbs (est.)
297,Carbon Monoxide,0,145.0 lbs (est.)
298,NOX,0,62.0 lbs (est.)
299,VOC( unspeciated),0,17.0 lbs (est.)
300,Carbon Monoxide,0,600000.0 lbs (est.)
301,Carbon Monoxide,0,355.0 lbs (est.)
302,Hydrogen Sulfide,0,10.8 lbs (est.)
303,NATURAL GAS,0,350.0 lbs (est.)
304,NOX,0,178.0 lbs (est.)
305,Sulfur dioxide,0,1020.0 lbs (est.)
306,Sewage,0,200000.0 gals (est.)
307,Opacity,30.0 % op,100.0 % op (est.)
308,"Naphtha (petroleum), catalytic reformed",0,7.27 bbls (est.)
309,Propylene Glycol,0,300.0 gals
310,Anhydrous ammonia,0,50.0 lbs (est.)
311,Opacity,20.0 % op,69.0 % op (est.)
312,Carbon Monoxide,4.0 TONS/YR,929.11 lbs (est.)
313,Hydrogen Sulfide,0,57.76 lbs (est.)
314,NATURAL GAS,1.2 TONS/YR,1158.91 lbs (est.)
315,Nitrogen dioxide,0,23.27 lbs (est.)
316,Nitrogen oxide,0,442.13 lbs (est.)
317,Sulfur dioxide,0.3 TONS/YR,5319.85 lbs (est.)
318,Opacity,10.0 % op,40.0 % op (est.)
319,Carbon Monoxide,0.3 TONS/YR,537.87 lbs (est.)
320,Hydrogen Sulfide,0,31.28 lbs (est.)
321,NATURAL GAS,0.02 TONS/YR,764.97 lbs (est.)
322,Nitrogen Oxides,0.04 TONS/YR,269.42 lbs (est.)
323,Nitrogen dioxide,0,13.47 lbs (est.)
324,Nitrogen oxide,0,255.95 lbs (est.)
325,Sulfur dioxide,0.01 TONS/YR,2880.84 lbs (est.)
326,Carbon Monoxide,0,1014.0 lbs (est.)
327,Hydrogen Sulfide,0,146.0 lbs (est.)
328,Non-Methane Non-Ethane Natural Gas,0,914.0 lbs (est.)
329,Oxides of Nitrogen (NOx),0,118.3 lbs (est.)
330,Sulfur dioxide,0,13464.0 lbs (est.)
331,Carbon Monoxide,0,1936.8091 lbs (est.)
332,Carbon disulfide,0,31.3132 lbs (est.)
333,Carbonyl sulfide,0,10.4377 lbs (est.)
334,Hydrogen Sulfide,0,31.3132 lbs (est.)
335,Nitrogen Oxides,0,142.5305 lbs (est.)
336,Other,0,78.0379 lbs (est.)
337,Particulate Matter,0,190.8535 lbs (est.)
338,Sulfur dioxide,0,6139.8383 lbs (est.)
339,Carbon Monoxide,0,3221.0032 lbs (est.)
340,Hexane Plus,0,2.6648 lbs (est.)
341,Isobutane,0,3.5946 lbs (est.)
342,Nitrogen dioxide,0,93.9166 lbs (est.)
343,Nitrogen oxide,0,281.7499 lbs (est.)
344,"Pentane, N-",0,2.231 lbs (est.)
345,Propane,0,29.9983 lbs (est.)
346,n-butane,0,106.0407 lbs (est.)
347,"pentane, iso-",0,2.231 lbs (est.)
348,Carbon Monoxide,0,3221.0032 lbs (est.)
349,Hexane Plus,0,2.6648 lbs (est.)
350,Isobutane,0,3.5946 lbs (est.)
351,Nitrogen dioxide,0,93.9166 lbs (est.)
352,Nitrogen oxide,0,281.7499 lbs (est.)
353,"Pentane, N-",0,2.231 lbs (est.)
354,Propane,0,29.9983 lbs (est.)
355,n-butane,0,106.0407 lbs (est.)
356,"pentane, iso-",0,2.231 lbs (est.)
357,Carbon Monoxide,11.26 LBS/HR,10124.9 lbs (est.)
358,Hydrogen Sulfide,0.98 LBS/HR,0.1 lbs (est.)
359,NATURAL GAS,0,9399.7 lbs (est.)
360,Nitrogen oxide,1.31 LBS/HR,1180.9 lbs (est.)
361,Sulfur dioxide,94.11 LBS/HR,14.1 lbs (est.)
362,VOC,9.01 LBS/HR,9395.1 lbs (est.)
363,Opacity,10.0 % op,25.0 % op (est.)
364,Carbon Monoxide,7.89 TONS/YR,71.96 lbs (est.)
365,Hydrogen Sulfide,0.42 TONS/YR,9.71 lbs (est.)
366,Nitrogen Oxides,1.47 TONS/YR,36.05 lbs (est.)
367,Sulfur dioxide,38.87 TONS/YR,894.5 lbs (est.)
368,Carbon Monoxide,94.95 LBS/HR,311.44 lbs (est.)
369,Ethylene (gaseous),130.0 LBS/HR,15.95 lbs (est.)
370,Nitrogen oxide,18.43 LBS/HR,43.11 lbs (est.)
371,Propane,130.0 LBS/HR,45.53 lbs (est.)
372,Propylene (Propene),130.0 LBS/HR,381.53 lbs (est.)
373,Smoke,0,1.0 % op (est.)
374,Ethanol,0,158.0 lbs (est.)
375,Propane,0,166851.0 lbs (est.)
376,VOC MIXTURE,0,179101.0 lbs (est.)
377,i-butane,0,5413.0 lbs (est.)
378,n-butane,0,6837.0 lbs (est.)
379,Opacity,20.0 % op,82.69 % op (est.)
380,Sulfur dioxide,3.38 LBS/HR,1464.0 lbs (est.)
381,Carbon Monoxide,0,341.34 lbs (est.)
382,Hydrogen Sulfide,0,245.06 lbs (est.)
383,NATURAL GAS,0,470.2 lbs (est.)
384,NOX,0,170.98 lbs (est.)
385,Sulfur dioxide,0,23032.36 lbs (est.)
386,Carbon Monoxide,0,198.69 lbs (est.)
387,Hydrogen Sulfide,0,204.52 lbs (est.)
388,NATURAL GAS,0,350.75 lbs (est.)
389,NOX,0,99.53 lbs (est.)
390,Sulfur dioxide,0,19221.31 lbs (est.)
391,Acrylonitrile,0.12 TONS/YR,125.67 lbs (est.)
392,Acrylonitrile,0,233.86 lbs (est.)
393,Acrylonitrile,0,0.81 lbs (est.)
394,Acrylonitrile,0,190.7 lbs (est.)
395,Carbon Monoxide,0.3 TONS/YR,312.7491 lbs (est.)
396,Hydrogen Sulfide,0,17.1031 lbs (est.)
397,NATURAL GAS,0.04 TONS/YR,442.7873 lbs (est.)
398,Nitrogen Oxides,0.04 TONS/YR,156.6583 lbs (est.)
399,Sulfur dioxide,0.01 TONS/YR,1673.751 lbs (est.)
400,Carbon Monoxide,0.3 TONS/YR,55.37 lbs (est.)
401,Hydrogen Sulfide,0,11.57 lbs (est.)
402,NATURAL GAS,0.02 TONS/YR,70.41 lbs (est.)
403,Nitrogen dioxide,0,1.39 lbs (est.)
404,Nitrogen oxide,0,26.35 lbs (est.)
405,Sulfur dioxide,0.01 TONS/YR,1065.48 lbs (est.)
406,Carbon Monoxide,0,60.8 lbs (est.)
407,Hydrogen Sulfide,0,4130.0 lbs (est.)
408,NATURAL GAS,0,2070.0 lbs (est.)
409,NOX,0,3200.0 lbs (est.)
410,Sulfur dioxide,0,388000.0 lbs (est.)
411,Carbon Monoxide,0,5310.0 lbs (est.)
412,NATURAL GAS,0,253.0 lbs (est.)
413,NOX,0,620.0 lbs (est.)
414,Carbon Monoxide,0,3210.0 lbs (est.)
415,Hydrogen Sulfide,0,97.5 lbs (est.)
416,NATURAL GAS,0,3160.0 lbs (est.)
417,NOX,0,1610.0 lbs (est.)
418,Sulfur dioxide,0,9160.0 lbs (est.)
419,Benzene,0,0.23 lbs (est.)
420,Butane,0,39.41 lbs (est.)
421,N-Hexane,0,5.67 lbs (est.)
422,Pentane,0,16.59 lbs (est.)
423,Propane,0,70.33 lbs (est.)
424,Toluene,0,0.28 lbs (est.)
425,VOCs,0,137.92 lbs (est.)
426,Xylenes,0,0.96 lbs (est.)
427,Benzene,0,5.9 lbs (est.)
428,Butane,0,2415.91 lbs (est.)
429,Carbon Monoxide,0,7136.77 lbs (est.)
430,N-Hexane,0,147.94 lbs (est.)
431,Nitrogen Oxides,0,3575.22 lbs (est.)
432,Opacity,0,75.0 % op (est.)
433,Pentane,0,702.51 lbs (est.)
434,Propane,0,5205.55 lbs (est.)
435,Toluene,0,3.52 lbs (est.)
436,VOCs,0,8529.28 lbs (est.)
437,Xylenes,0,4.11 lbs (est.)
438,Benzene,0,8.63 lbs (est.)
439,Butane,0,5287.49 lbs (est.)
440,Carbon Monoxide,0,6364.7 lbs (est.)
441,N-Hexane,0,213.75 lbs (est.)
442,Nitrogen Oxides,0,3188.49 lbs (est.)
443,Opacity,0,75.0 % op (est.)
444,Pentane,0,1352.26 lbs (est.)
445,Propane,0,9485.7 lbs (est.)
446,Toluene,0,3.85 lbs (est.)
447,VOCs,0,16401.13 lbs (est.)
448,Xylenes,0,3.26 lbs (est.)
449,Benzene,0,1.98 lbs (est.)
450,Butane,0,1214.11 lbs (est.)
451,N-Hexane,0,49.08 lbs (est.)
452,Pentane,0,310.51 lbs (est.)
453,Propane,0,2174.77 lbs (est.)
454,Toluene,0,0.88 lbs (est.)
455,VOCs,0,3762.68 lbs (est.)
456,Xylenes,0,0.75 lbs (est.)
457,Carbon Monoxide,0,1025.0 lbs (est.)
458,Hydrogen Sulfide,0,42.0 lbs (est.)
459,NOX,0,513.0 lbs (est.)
460,Non-Methane Non-Ethane Natural Gas,0,1379.0 lbs (est.)
461,Sulfur dioxide,0,3837.0 lbs (est.)
462,Carbon Monoxide,0,1025.0 lbs (est.)
463,Hydrogen Sulfide,0,20.0 lbs (est.)
464,NOX,0,444.0 lbs (est.)
465,Non-Methane Non-Ethane Natural Gas,0,1102.0 lbs (est.)
466,Sulfur dioxide,0,1846.0 lbs (est.)
467,Carbon Monoxide,0,242.0 lbs (est.)
468,Hydrogen Sulfide,0,12.0 lbs (est.)
469,NOX,0,121.0 lbs (est.)
470,Non-Methane Non-Ethane Natural Gas,0,506.0 lbs (est.)
471,Sulfur dioxide,0,1084.0 lbs (est.)
472,Ethylene oxide,2.1 LBS/HR,18.0 lbs (est.)
473,Ethylene oxide,0.5 LBS/HR,10.0 lbs (est.)
14153,Motor oil,0,Unknown
474,Carbon Monoxide,0,615.0 lbs (est.)
475,Hydrogen Sulfide,0,24.0 lbs (est.)
476,NOX,0,308.0 lbs (est.)
477,Non-Methane Non-Ethane Natural Gas,0,784.0 lbs (est.)
478,Sulfur dioxide,0,2225.0 lbs (est.)
479,"Butane, N-",0.0001 lbs,202.0 lbs (est.)
480,"Butane, i",0.0001 lbs,59.0 lbs (est.)
481,Carbon Monoxide,0.0001 lbs,866.0 lbs (est.)
482,Hydrogen Sulfide,0.0001 lbs,52.0 lbs (est.)
483,NOX,0.0001 lbs,434.0 lbs (est.)
484,"Pentane, N-",0.0001 lbs,74.0 lbs (est.)
485,Propane,0.0001 lbs,410.0 lbs (est.)
486,Sulfur dioxide,0.0001 lbs,4935.0 lbs (est.)
487,hexanes +,0.0001 lbs,99.0 lbs (est.)
488,"pentane, iso-",0.0001 lbs,56.0 lbs (est.)
489,Carbon Monoxide,0,917.0 lbs (est.)
